en,de
afghanistan,Afghanistan
albania,Albanien
algeria,Algerien
andorra,Andorra
angola,Angola
antarctica,Antarktis
antigua,Antigua
argentina,Argentinien
armenia,Armenien
australia,Australien
austria,Österreich
azerbaijan,Aserbaidschan
bahrain,Bahrain
bangladesh,Bangladesch
barbados,Barbados
belarus,Weißrussland
belgium,Belgien
belize,Belize
benin,Benin
bhutan,bhutan
bolivia,Bolivien
bosnia,Bosnien
botswana,Botswana
brazil,Brasilien
brunei,Brunei
bulgaria,Bulgarien
burkina faso,Bulgarien
burundi,Burundi
cambodia,Kambodscha
cameroon,Kamerun
canada,Kanada
cape verde,Kap Verde
chad,Tschad
chile,Chile
china,China
colombia,Columbia
cook islands,Cookinseln
costa rica,Costa Rica
cote d’Ivoire,Elfenbeinküste
croatia,Kroatien
cuba,Kuba
cyprus,Zypern
denmark,Dänemark
djibouti,Dschibuti
dominica,Dominica
east timor,Osttimor
ecuador,Ecuador
egypt,Ägypten
el salvador,El Salvador
equatorial guinea,Äquatorialguinea
eritrea,Eritrea
estonia,Estland
fiji,Fiji
finland,Finnland
france,Frankreich
gabon,Gabun
georgia,Georgia
germany,Deutschland
ghana,Ghana
great britain,Grossbritannien
greece,Griechenland
greenland,Grönland
grenada,Grönland
guatamala,Guatemala
guinea,Guinea
guinea-bissau,Guinea-Bissau
guyana,Guyana
haiti,Haiti
honduras,Honduras
hungary,Ungarn
iceland,Island
india,Indien
indonesia,Indonesien
iran,Iran
iraq,Irak
ireland,Irland
israel,Israel
italy,Italien
jamaica,Jamaika
japan,Japan
jordan,Jordanien
kazakhstan,Kasachstan
kenya,Kenia
kiribati,Kiribati
kosovo,Kosovo
kuwait,Kuwait
kyrgyzstan,Kirgisistan
laos,Laos
latvia,Lettland
lebanon,Libanon
lesotho,Lesotho
liberia,Liberia
libya,Libyen
lichtenstein,Liechtenstein
lithuania,Litauen
luxembourg,Luxemburg
macedonia,Mazedonien
madagascar,Madagaskar
malawi,Malawi
malaysia,Malaysia
maldives,Malediven
mali,Mali
malta,Malta
mauritania,Mauretanien
mauritius,Mauritius
mexico,Mexiko
micronesia,Mikronesien
moldova,Moldawien
monaco,Monaco
mongolia,Mongolei
montenegro,Montenegro
morocco,Marokko
mozambique,Mosambik
myanmar,Myanmar
namibia,Namibia
nauru,Nauru
nepal,Nepal
new zealand,Neuseeland
nicaragua,Nicaragua
niger,Niger
nigeria,Nigeria
niue,Niue
north korea,Nord Korea
norway,Norwegen
oman,Oman
pakistan,Pakistan
palau,Palau
panama,Panama
papua new guinea,Papua Neu-Guinea
paraguay,Paraguay
peru,Peru
poland,Polen
portugal,Portugal
qatar,Katar
romania,Rumänien
russia,Russland
rwanda,Ruanda
saint kitts,St. Kitts
saint lucia,St. Lucia
saint vincent,St. Vincent
samoa,Samoa
san marino,San Marino
sao tome and principe,Sao Tome und Principe
saudi arabia,Saudi-Arabien
senegal,Zenegal
serbia,Serbien
sierra leone,Sierra Leone
singapore,Singapur
slovakia,Slowakei
slovenia,Slowenien
somalia,Somalia
south africa,Südafrika
south korea,Südkorea
sudan,Südsudan
spain,Spanien
sri lanka,Sri Lanka
sudan,Sudan
suriname,Surinam
swaziland,Swasiland
sweden,Schweden
switzerland,Schweiz
syria,Syrien
taiwan,Taiwan
tajikistan,Tadschikistan
tanzania,Tansania
thailand,Thailand
the bahamas,Die Bahamas
the central african republic,Die Zentralafrikanische Republik
the comoros,Die Komoren
the congo,Der Kongo
the czech republic,Die Tschechische Republik
the dominican republic,Die Dominikanische Republik
the gambia,Das Gambia
the marshall islands,Die Marshallinseln
the netherlands,Die Niederlande
the philippines,Die Phillipinen
the republic of the congo,Die Republik Kongo
the seychelles,Die Seychellen
the solomon islands,Die Salomonen
the united arab emirates,Die Vereinigten Arabischen Emirate
the united states,Die Vereinigten Staaten
the vatican,Der Vatikan
Ethiopia,Äthiopien
togo,Togo
tonga,Tonga
trinidad,Trinidad
tunisia,Tunesien
turkey,Türkei
turkmenistan,Turkmenistan
tuvalu,Tuvalu
uganda,Uganda
ukraine,Ukraine
uruguay,Uruguay
uzbekistan,Usbekistan
vanuatu,Vanuatu
venezuela,Venezuela
vietnam,Vietnam
western sahara,Westsahara
yemen,Jemen
zambia,Sambia
zimbabwe,Simbabwe
,